Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,Brand
whats an offer letter,25,21,110,77,1.28,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0.01,245000000,"[53,41,41,53,53,53,82,65,82,100,82,82]",2020-01-29,"Sitelinks, Reviews, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
acceptance letter for training program,25,63,70,70,0,https://payfactors.com/include-entry-level-job-offer-letter-sample-template-included/,0,0,0,0.02,359000000,"[100,33,67,67,33,33,33,33,33,33,33,100]",2020-01-17,Image pack,,Organic,Non-Branded
office manager offer letter,25,28,50,76,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0.43,466000000,"[11,33,22,11,100,22,11,11,11,11,100,33]",2020-01-04,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
going from fulltime to part time letter,25,25,30,76,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0,195000000,"[100,33,33,33,67,33,33,33,33,33,33,33]",2019-12-26,Image pack,,Organic,Non-Branded
legal offer letter sample,25,23,50,80,0,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0,240000000,"[11,44,11,100,11,11,0,11,22,11,22,0]",2020-01-07,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
sample job offer letter from employer,25,0,20,77,3.49,https://payfactors.com/job-offer-letters-free-sample-templates/,0,0,0,0.19,55400000,"[25,75,75,100,50,25,50,25,25,25,25,25]",2020-01-21,"Image pack, Reviews, Ads bottom, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
job offer proposal template,25,25,70,80,1.15,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0.17,105000000,"[11,11,11,33,11,78,100,100,11,11,11,11]",2019-12-30,"Image pack, Sitelinks",,Organic,Non-Branded
how to calculate pay raise,25,19,170,76,0,https://payfactors.com/how-to-determine-pay-raises-without-getting-a-headache/,0,0,0,0.01,50300000,"[52,52,81,100,81,100,100,67,81,81,67,67]",2020-01-07,"Sitelinks, Video, Featured snippet",,Organic,Non-Branded
company employee offer letter,26,12,20,76,0,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0,657000000,"[100,0,0,100,0,0,0,0,0,0,0,0]",2020-01-04,"Image pack, Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
company offer letter model,26,26,20,66,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0,964000000,"[0,0,0,0,0,100,0,0,0,0,100,100]",2020-01-30,"Image pack, FAQ",,Organic,Non-Branded
contract offer template,26,26,20,76,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0.14,106000000,"[0,25,100,25,25,25,25,50,0,25,25,25]",2019-12-23,"Sitelinks, Video, Featured snippet",,Organic,Non-Branded
sample offer letter for contract employee,26,28,70,76,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0.17,48600000,"[20,40,100,20,40,20,20,20,40,20,20,20]",2020-01-07,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
2019 salary increase projections,26,26,110,72,0,https://info.payfactors.com/salary-budget-survey-2019,0,0,0,0.05,10900000,"[100,67,67,44,23,18,10,5,13,8,5,3]",2019-12-30,"Image pack, Sitelinks, Featured snippet",,Organic,Non-Branded
how do you calculate pay raise percentage,26,26,90,76,0,https://payfactors.com/how-to-determine-pay-raises-without-getting-a-headache/,0,0,0,0,46100000,"[25,50,25,25,25,25,25,25,25,50,100,25]",2019-12-21,"Sitelinks, Featured snippet",,Organic,Non-Branded
request for offer letter template,26,26,20,81,1.78,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0.26,423000000,"[33,0,100,0,33,0,0,100,33,67,67,33]",2020-01-13,"Image pack, Sitelinks",,Organic,Non-Branded
termination clause in offer letter,26,0,90,61,0,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0,16300000,"[14,14,29,14,14,29,100,29,14,14,14,14]",2020-01-14,Image pack,,Organic,Non-Branded
can an employer change your offer letter after employment,26,26,50,78,0,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0.01,234000000,"[100,14,14,29,14,14,29,14,29,14,14,100]",2019-12-27,"Sitelinks, Featured snippet",,Organic,Non-Branded
braintree chicago salary,26,26,40,81,0,https://payfactors.com/,0,0,0,0.06,93,"[11,100,56,56,100,11,11,11,11,11,11,78]",2019-12-26,"Image pack, Reviews",,Organic,Non-Branded
job offer letter from employer to employee,26,28,390,80,2.15,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,1,0.28,117000000,"[66,54,54,66,66,66,66,81,81,100,81,81]",2020-01-08,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
budget survey,26,43,30,64,5.26,https://info.payfactors.com/salary-budget-survey-2019,0,0,0,0.07,520000000,"[100,43,14,100,14,14,14,14,14,43,14,14]",2020-01-17,"Sitelinks, Featured snippet",,Organic,Non-Branded
job offer proposal sample,26,16,40,79,0,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0,168000000,"[100,0,22,100,0,22,0,0,0,0,0,11]",2020-01-11,"Image pack, Sitelinks, Featured snippet",,Organic,Non-Branded
mental controller guide,26,26,30,69,0,https://payfactors.com/write-controller-job-description-guide/,0,0,0,0,15000000,"[50,0,50,50,50,50,0,50,100,0,50,0]",2019-12-22,"Image pack, Reviews, Video",,Organic,Non-Branded
workday ceo salary,26,39,40,85,0,https://payfactors.com/,0,0,0,0.05,10,"[0,0,14,14,14,14,14,14,14,14,100,14]",2020-01-18,"Image pack, Reviews, Video",,Organic,Non-Branded
how to write a mail to hr for joining letter,26,26,30,78,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0,1060000000,"[0,0,0,0,0,0,0,0,0,100,0,0]",2020-01-08,"Image pack, Sitelinks",,Organic,Non-Branded
another word for compensation,26,26,590,84,0,https://payfactors.com/whats-remuneration-vs-compensation/,0,0,0,0,97900000,"[82,82,55,67,82,82,82,67,55,55,55,100]",2019-12-22,"Instant answer, Sitelinks",,Organic,Non-Branded
church offer letter examples,26,26,40,56,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0.07,201000000,"[20,0,0,20,20,60,0,20,20,100,20,20]",2019-12-23,Image pack,,Organic,Non-Branded
desired compensation answer,26,21,210,71,3.68,https://payfactors.com/candidate-desired-compensation-too-high/,0,0,1,0.02,25600000,"[81,65,81,100,100,100,81,81,100,81,81,81]",2020-01-26,"Image pack, Video Carousel, People also ask",,Organic,Non-Branded
david goggins military career,26,24,320,81,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0.03,256000,"[20,16,25,20,16,16,5,13,100,25,25,13]",2020-01-25,"Image pack, Reviews, Video, Featured snippet, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
work offer letter sample,27,0,30,78,1.14,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0.2,1170000000,"[11,11,0,11,22,33,100,22,11,11,11,44]",2020-01-20,"Sitelinks, Reviews, Featured snippet, Ads top, People also ask, FAQ",,Organic,Non-Branded
benefit eligibility letter samples,27,0,90,79,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0.11,86300000,"[14,14,100,14,14,14,14,57,14,14,100,29]",2020-01-11,"Image pack, Sitelinks",,Organic,Non-Branded
goggins podcast,27,27,110,79,2.1,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0.11,385000,"[19,14,100,81,67,67,67,43,67,52,52,52]",2019-12-29,"Image pack, Reviews, Video",,Organic,Non-Branded
salary cash in hand,27,27,40,83,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,0,0,0,0,76400000,"[0,0,0,0,0,0,0,100,0,0,0,0]",2019-12-29,"Image pack, Reviews, Video",,Organic,Non-Branded
what is an offer letter employment,27,26,90,77,0,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0,166000000,"[25,25,25,0,0,0,0,0,100,25,50,75]",2020-01-06,"Image pack, Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
example of an offer letter for a job,27,0,20,82,0,https://payfactors.com/include-entry-level-job-offer-letter-sample-template-included/,0,0,0,0,269000000,"[100,20,20,20,20,20,20,20,20,20,60,0]",2020-01-19,"Image pack, Sitelinks, Featured snippet, Ads top, People also ask, FAQ",,Organic,Non-Branded
data controller job description,27,39,40,70,0,https://payfactors.com/write-controller-job-description-guide/,0,0,0,0.07,217000000,"[20,60,20,100,100,20,20,20,40,20,20,20]",2020-01-10,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
david goggins wif,27,27,40,81,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0,4120000,"[0,0,0,0,0,0,0,0,0,0,0,100]",2019-12-29,"Image pack, Sitelinks, Reviews, Video, Featured snippet",,Organic,Non-Branded
all i ever wanted was to be there for you,27,0,20,84,0,https://payfactors.com/vacations-comp-coffee-ep-29/,0,0,0,0,2230000000,"[67,67,33,33,33,67,33,33,33,67,100,33]",2020-01-23,"Image pack, Reviews, Featured video, Video Carousel",,Organic,Non-Branded
example letter of offer and employment contract,27,24,20,69,0,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0,411000000,"[0,100,0,0,0,0,0,33,67,0,0,0]",2020-01-25,"Image pack, People also ask, FAQ",,Organic,Non-Branded
cio salary boston,28,29,70,82,0,https://payfactors.com/about/,0,0,0,0.02,68,"[0,0,0,0,20,20,20,100,20,20,20,20]",2020-01-07,"Image pack, Reviews",,Organic,Non-Branded
company controller job description,28,25,50,80,12.87,https://payfactors.com/write-controller-job-description-guide/,0,0,0,0.13,186000000,"[100,4,2,4,2,2,2,2,2,2,4,2]",2020-01-22,"Featured snippet, Ads top, People also ask",,Organic,Non-Branded
david goggin podcast,28,0,50,78,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0.03,79400,"[0,0,0,0,0,0,0,100,11,56,44,11]",2020-01-08,"Reviews, Video",,Organic,Non-Branded
do navy seals drink coffee,28,28,20,76,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0.04,12100000,"[14,14,14,43,14,29,29,43,14,29,100,14]",2019-12-27,"Image pack, Reviews, Featured snippet",,Organic,Non-Branded
job offer letter for new employee,28,28,50,76,0,https://payfactors.com/include-entry-level-job-offer-letter-sample-template-included/,0,0,0,0.18,321000000,"[43,0,0,14,0,0,29,14,100,0,14,14]",2019-12-23,"Image pack, Sitelinks",,Organic,Non-Branded
email to send offer letter,28,16,20,76,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0,826000000,"[50,25,25,25,25,25,25,25,25,25,100,75]",2020-01-11,"Image pack, Sitelinks",,Organic,Non-Branded
offer letter sample download,28,0,50,70,0,https://payfactors.com/include-entry-level-job-offer-letter-sample-template-included/,0,0,0,0.33,746000000,"[0,33,100,33,33,0,0,33,0,33,0,33]",2020-01-31,"Reviews, People also ask, FAQ",,Organic,Non-Branded
david goggins callus your mind,28,22,90,70,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0.49,79,"[0,0,0,0,0,0,25,25,50,25,100,25]",2020-01-20,"Image pack, Reviews, Video, People also ask",,Organic,Non-Branded
job offer sheet,28,28,20,81,1.06,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0.06,924000000,"[60,20,60,60,20,20,20,100,20,40,20,20]",2020-01-06,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
how to send job offer letter,28,40,40,78,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0.43,474000000,"[33,33,33,0,33,100,100,0,33,0,33,67]",2020-01-08,Sitelinks,,Organic,Non-Branded
how to figure out raise percentage,28,0,90,75,0,https://payfactors.com/how-to-determine-pay-raises-without-getting-a-headache/,0,0,0,0,128000000,"[50,50,79,79,79,100,79,64,79,79,64,50]",2020-01-08,"Sitelinks, Featured snippet",,Organic,Non-Branded
new hire acceptance letter example,28,26,40,79,0,https://payfactors.com/include-entry-level-job-offer-letter-sample-template-included/,0,0,0,0,804000000,"[33,100,33,100,33,100,33,33,33,33,33,33]",2020-01-08,"Image pack, Sitelinks",,Organic,Non-Branded
download offer letter in word format,28,27,50,72,0,https://payfactors.com/job-offer-letters-free-sample-templates/,0,0,0,0,863000000,"[0,0,0,0,0,100,0,0,0,0,0,0]",2020-02-01,"Image pack, Reviews, Ads top, Ads bottom, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
2019 salary increase projections thailand,28,28,30,66,0,https://info.payfactors.com/salary-budget-survey-2019,0,0,0,0,3080000,"[0,0,100,0,0,0,0,0,29,0,0,0]",2019-12-26,"Image pack, Sitelinks, Featured snippet",,Organic,Non-Branded
how to reply for offer letter through mail,28,0,50,70,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0,305000000,"[0,100,33,33,33,100,0,0,0,0,0,0]",2020-01-28,"Sitelinks, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
david goggins leadville 100,28,0,70,74,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0,88,"[0,0,0,0,0,0,0,0,0,0,100,67]",2020-01-01,"Image pack, Reviews, Video",,Organic,Non-Branded
david goggins before after,28,0,50,83,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0,4070000,"[0,0,0,0,0,0,0,0,0,0,100,13]",2020-01-02,"Knowledge panel, Sitelinks, Reviews, Video",,Organic,Non-Branded
revolution gif,29,0,210,83,0,https://payfactors.com/how-comp-strategists-become-strategic-business-allies/genius-gif/,0,0,0,0,105000000,"[44,36,44,54,44,54,44,36,54,82,100,100]",2020-01-07,"Image pack, Sitelinks, Reviews, Video",,Organic,Non-Branded
how david goggins lose 106 pounds,29,0,90,78,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0,113000,"[0,0,0,0,0,33,33,67,33,0,100,0]",2020-01-02,"Image pack, Sitelinks, Reviews, Video",,Organic,Non-Branded
job offer email example,29,44,40,78,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0.01,482000000,"[100,11,11,11,33,11,56,11,11,11,11,11]",2020-01-13,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
what is your desired role,29,29,40,76,0,https://payfactors.com/candidate-desired-compensation-too-high/,0,0,0,0,215000000,"[0,0,0,100,0,100,0,0,0,0,0,100]",2019-12-23,"Video, Featured snippet",,Organic,Non-Branded
david goggins tour,29,40,140,77,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0.01,95,"[0,19,100,81,42,54,35,54,42,54,54,54]",2020-01-21,"Image pack, Sitelinks, Reviews, Tweet, Video Carousel, People also ask",,Organic,Non-Branded
offer letter sample download,29,22,50,70,0,https://payfactors.com/job-offer-letters-free-sample-templates/,0,0,0,0.33,746000000,"[0,33,100,33,33,0,0,33,0,33,0,33]",2020-01-31,"Reviews, People also ask, FAQ",,Organic,Non-Branded
david goggins military record,29,33,50,78,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0.02,317000,"[0,0,20,40,20,20,20,80,20,20,20,100]",2020-01-18,"Image pack, Sitelinks, Reviews, Video, Featured snippet, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
equity offer letter sample,29,23,50,69,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0.03,39400000,"[33,33,33,67,33,33,33,33,67,33,100,33]",2020-01-02,"Image pack, Sitelinks",,Organic,Non-Branded
example of offer letter for job,29,31,20,82,1.05,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0.25,329000000,"[40,100,20,20,20,80,60,40,20,20,20,20]",2020-01-10,"Image pack, Sitelinks",,Organic,Non-Branded
what is your expected compensation,29,18,140,80,0,https://payfactors.com/candidate-desired-compensation-too-high/,0,0,0,0,165000000,"[81,43,33,100,100,100,67,43,43,43,43,67]",2020-01-05,Sitelinks,,Organic,Non-Branded
what is your desired compensation for this role,29,22,30,75,0,https://payfactors.com/candidate-desired-compensation-too-high/,0,0,0,0,53300000,"[11,22,11,11,11,11,78,11,100,33,11,11]",2020-01-17,Featured snippet,,Organic,Non-Branded
comp free,29,29,30,82,0,https://payfactors.com/,0,0,0,0,578000000,"[20,20,20,20,40,20,20,100,20,20,20,80]",2019-12-30,"Sitelinks, Reviews",,Organic,Non-Branded
offer letter template word doc,29,0,20,76,1.51,https://payfactors.com/job-offer-letters-free-sample-templates/,0,0,0,0.37,75200000,"[0,0,0,0,0,0,0,0,33,33,33,100]",2020-01-04,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
get offer letter,30,26,70,84,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0.14,718000000,"[25,50,25,25,25,0,25,25,25,0,100,25]",2020-01-02,"Image pack, Sitelinks",,Organic,Non-Branded
how to answer pay desired,30,30,90,76,0,https://payfactors.com/candidate-desired-compensation-too-high/,0,0,0,0,106000000,"[22,78,11,11,11,11,33,11,11,100,56,11]",2020-01-06,"Image pack, Reviews, Featured snippet",,Organic,Non-Branded
software offer letter sample,30,34,40,69,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0,256000000,"[0,25,0,0,0,0,25,0,75,0,100,25]",2020-01-05,"Sitelinks, Featured snippet",,Organic,Non-Branded
controller job title,30,31,140,76,0,https://payfactors.com/write-controller-job-description-guide/,0,0,0,0,74300000,"[100,82,65,82,82,100,100,65,82,100,82,82]",2020-01-16,Featured snippet,,Organic,Non-Branded
is david goggins a navy seal,30,37,30,84,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0.02,261000,"[0,0,0,0,0,0,0,0,0,0,100,100]",2020-01-22,"Sitelinks, Reviews, Video, Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
remuneration synonym,30,24,590,87,0,https://payfactors.com/whats-remuneration-vs-compensation/,0,0,0,0,253000,"[82,67,54,67,82,100,100,67,54,54,82,100]",2020-01-09,"Instant answer, Image pack, Video",,Organic,Non-Branded
i ll have you know navy seal,30,29,30,88,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0.03,27900000,"[14,14,14,14,43,100,29,14,100,14,14,14]",2020-01-02,Reviews,,Organic,Non-Branded
another word for remuneration,30,22,20,89,0,https://payfactors.com/whats-remuneration-vs-compensation/,0,0,0,0,16900000,"[11,11,44,44,11,11,11,11,11,100,33,11]",2020-01-13,"Instant answer, Sitelinks",,Organic,Non-Branded
job offer template pdf,30,25,40,70,0,https://payfactors.com/job-offer-letters-free-sample-templates/,0,0,0,0,1140000000,"[0,0,0,0,0,0,25,25,50,75,100,0]",2020-01-23,"Image pack, Reviews, Ads top, Ads bottom, People also ask, FAQ",,Organic,Non-Branded
newage products careers,30,0,50,81,0,https://payfactors.com/careers/,0,0,0,0,13300000,"[100,0,0,50,50,50,50,50,0,0,0,0]",2020-01-02,"Image pack, Reviews",,Organic,Non-Branded
david goggins speech,30,61,140,85,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0,555000,"[53,53,82,100,82,65,53,82,100,100,100,82]",2020-01-12,"Image pack, Sitelinks, Reviews, Video",,Organic,Non-Branded
what is your expected compensation range,31,0,140,78,3.3,https://payfactors.com/candidate-desired-compensation-too-high/,0,0,0,0.03,133000000,"[65,35,27,42,27,27,35,27,42,81,100,100]",2020-01-02,"Sitelinks, Reviews",,Organic,Non-Branded
general and i ep 29,31,31,70,75,0,https://payfactors.com/vacations-comp-coffee-ep-29/,0,0,0,0,187000000,"[0,0,25,0,0,0,25,50,0,0,100,0]",2019-12-30,"Image pack, Sitelinks, Reviews, Video",,Organic,Non-Branded
desired pay,31,31,390,78,0,https://payfactors.com/candidate-desired-compensation-too-high/,0,0,0,0,281000000,"[81,67,67,81,67,81,81,100,100,81,100,100]",2019-12-27,"Image pack, Reviews",,Organic,Non-Branded
david goggins mom,31,31,320,81,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0,351000,"[0,0,0,0,0,0,0,0,0,100,100,77]",2019-12-26,"Image pack, Sitelinks, Reviews, Video",,Organic,Non-Branded
probation period clause in offer letter,31,21,30,72,0,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0,2370000,"[14,0,57,0,71,100,0,14,0,0,0,0]",2020-01-17,"People also ask, FAQ",,Organic,Non-Branded
how do salary raises work,31,31,30,88,0,https://payfactors.com/how-to-determine-pay-raises-without-getting-a-headache/,0,0,0,0,39300000,"[25,25,25,25,25,25,25,75,100,50,25,25]",2019-12-23,"Reviews, Featured snippet",,Organic,Non-Branded
job offer email template,31,0,260,74,1.85,https://payfactors.com/job-offer-letters-free-sample-templates/,0,0,0,0.04,638000000,"[54,54,44,67,67,67,67,82,67,82,82,100]",2020-01-22,"Image pack, Reviews, FAQ",,Organic,Non-Branded
free sample employee probation letter,31,34,70,65,0,https://payfactors.com/will-job-offer-letters-write-free-template/,0,0,0,0,11200000,"[0,0,0,0,0,0,100,0,0,0,0,0]",2020-01-06,"Image pack, Sitelinks",,Organic,Non-Branded
compensation offer letter sample,31,0,70,79,0,https://payfactors.com/job-offer-letters-free-sample-templates/,0,0,0,0,46700000,"[14,0,14,14,0,14,14,0,0,100,0,14]",2020-01-11,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
desired salary response,31,25,20,77,0,https://payfactors.com/candidate-desired-compensation-too-high/,0,0,0,0,22400000,"[29,14,57,14,14,14,14,57,14,71,14,100]",2020-01-18,People also ask,,Organic,Non-Branded
the comp,31,31,140,54,0,https://payfactors.com/about/,0,0,0,0.02,945000000,"[79,100,100,100,79,79,79,79,79,79,100,100]",2019-12-26,"Sitelinks, Reviews",,Organic,Non-Branded
official job offer letter,31,32,30,78,1.51,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0.15,534000000,"[4,4,4,4,4,19,15,4,4,27,100,100]",2020-01-04,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
employment appointment letter template,32,0,20,78,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0,12600000,"[50,50,50,100,50,50,50,0,0,50,50,0]",2020-01-09,"Sitelinks, Featured snippet",,Organic,Non-Branded
standard offer letter format,32,43,70,76,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0.18,246000000,"[44,11,0,11,11,11,33,11,11,100,11,22]",2020-01-18,"Image pack, Featured snippet, Ads top, People also ask, FAQ",,Organic,Non-Branded
newage software & solutions wikipedia,32,0,30,62,0,https://payfactors.com/,0,0,0,0,1170000,"[0,0,0,0,0,100,0,0,0,0,0,0]",2020-01-05,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
job offer letter for receptionist,32,32,30,78,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0,94,"[0,0,0,0,100,100,0,100,0,100,100,0]",2020-01-08,"Image pack, Sitelinks, Video",,Organic,Non-Branded
how to communicate a pay raise to an employee,32,32,50,75,0,https://payfactors.com/how-to-determine-pay-raises-without-getting-a-headache/,0,0,0,0.14,192000000,"[100,50,50,50,50,50,50,0,50,50,100,50]",2019-12-22,Featured snippet,,Organic,Non-Branded
job start date letter,32,30,50,79,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0,683000000,"[100,11,11,11,11,11,11,11,22,11,11,11]",2020-01-03,"Image pack, Sitelinks",,Organic,Non-Branded
what to look for in an offer letter,32,32,30,83,0,https://payfactors.com/job-offer-letters-free-sample-templates/,0,0,0,0,427000000,"[25,25,75,25,25,25,25,100,25,25,25,25]",2019-12-23,"Sitelinks, Featured snippet",,Organic,Non-Branded
how to answer compensation question,32,32,110,82,0,https://payfactors.com/candidate-desired-compensation-too-high/,0,0,0,0,125000000,"[64,29,36,79,79,100,100,64,100,100,79,50]",2019-12-21,"Sitelinks, Featured snippet",,Organic,Non-Branded
towers watson wikipedia,33,63,30,75,0,https://payfactors.com/about/,0,0,0,0,60,"[14,43,14,57,14,100,43,29,43,14,0,0]",2020-01-10,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
software ceo salary,33,32,30,84,0,https://payfactors.com/,0,0,0,0.02,66800000,"[43,29,14,14,14,43,14,100,43,57,14,71]",2020-01-10,"Reviews, Featured snippet",,Organic,Non-Branded
controller job duties,33,31,140,80,12.88,https://payfactors.com/write-controller-job-description-guide/,0,0,1,0.15,20400000,"[53,53,53,82,65,82,82,82,100,65,100,82]",2020-01-06,"Image pack, Featured snippet",,Organic,Non-Branded
compensation software,33,40,170,61,22.46,https://payfactors.com/product/,0,0,2,0.74,243000000,"[100,52,67,67,81,81,81,81,67,67,100,100]",2020-01-19,"Ads top, Ads bottom, People also ask",,Organic,Non-Branded
what does compensation expectations mean,33,26,110,80,0,https://payfactors.com/candidate-desired-compensation-too-high/,0,0,0,0,62300000,"[14,19,24,52,43,52,52,52,67,81,81,100]",2020-01-09,"Sitelinks, Video, Featured snippet",,Organic,Non-Branded
writing an email to accept a job offer,33,47,50,76,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,0,0,0,0,814000000,"[60,100,20,20,40,40,20,20,20,100,20,20]",2020-01-06,"Image pack, Sitelinks, Featured snippet",,Organic,Non-Branded
schedule a letter example,33,27,50,78,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0.01,366000000,"[2,2,2,3,2,2,19,100,2,19,19,5]",2020-01-21,"Image pack, People also ask, FAQ",,Organic,Non-Branded
bjfogg,33,27,110,71,0,https://payfactors.com/dr-bj-fogg-compcon-keynote/,0,0,0,0.01,231000,"[43,52,43,52,52,52,52,43,43,52,100,81]",2020-01-14,"Knowledge panel, Sitelinks, Reviews, Video",,Organic,Non-Branded
simple offer letter template,33,29,30,70,1.94,https://payfactors.com/job-offer-letters-free-sample-templates/,0,0,0,0.14,457000000,"[100,29,29,29,14,57,14,14,14,29,43,57]",2020-02-01,"Sitelinks, Reviews, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
david goggins father,33,33,880,81,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0,456000,"[0,0,100,84,46,38,38,31,38,53,53,46]",2019-12-25,"Knowledge panel, Image pack, Sitelinks, Reviews, Video",,Organic,Non-Branded
good offer letter,33,30,70,80,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0.08,453000000,"[11,11,22,11,100,11,11,11,11,22,11,11]",2020-01-13,"Image pack, Sitelinks",,Organic,Non-Branded
how to email job offer,33,47,40,78,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,0,0,0,0,1810000000,"[56,33,11,56,11,11,11,100,11,22,11,44]",2020-01-03,"Image pack, Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
david goggins age,34,32,590,82,0,https://payfactors.com/david-goggins-comp-coffee/,0,0,0,0,791000,"[0,0,0,0,0,55,45,45,45,81,100,55]",2020-01-21,"Knowledge panel, Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
